ticket_id,ticket_title,priority,sla_priority_class,issue_type,top_similarity_score,avg_similarity_score_top5,estimated_resolution_hours_nlp,median_resolution_hours_top5,suggested_technician_from_similarity,suggested_issue_type_from_similarity,top_match_ticket_id,top_match_title
T20260223.0003,VPN connection drops intermittently,Medium,Service Request,SW:Change,1.0,1.0,130.57,147.0,"Anderson, Scott",SW:Support,T20260223.0002,VPN connection drops intermittently
T20260105.0002,Zoom meeting room setup,Low,Service Request,IT:Applications,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20260208.0005,Windows update causing BSOD,Medium,Maintenance,SW:Defect,1.0,1.0,90.9,42.5,"Moore, James",IT:Hardware,T20260301.0006,Windows update causing BSOD
T20251226.0001,Network printer offline,Critical,Service Request,IT:Change,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
T20260125.0001,VPN connection drops intermittently,Critical,Service Request,IT:Change,1.0,1.0,130.57,147.0,"Anderson, Scott",SW:Support,T20260223.0002,VPN connection drops intermittently
T20251213.0002,Backup job failed overnight,High,Service Request,SW:Change,1.0,1.0,113.7,102.0,"Anderson, Scott",SW:Internal,T20260203.0005,Backup job failed overnight
T20251224.0001,Backup job failed overnight,Medium,Service Request,SW:Change,1.0,1.0,113.7,102.0,"Anderson, Scott",SW:Internal,T20260203.0005,Backup job failed overnight
T20260218.0001,New user account creation,Low,Service Request,SW:Change,1.0,1.0,82.9,64.0,"Moore, James",IT:Change,T20251207.0003,New user account creation
T20251219.0002,New employee laptop setup,Medium,Service Request,Triage,1.0,1.0,78.2,87.0,"Anderson, Scott",SW:Defect,T20260218.0006,New employee laptop setup
T20260113.0001,Teams calls have audio echo,Medium,Service Request,SW:Change,1.0,1.0,111.4,132.0,"Moore, James",SW:Support,T20251204.0021,Teams calls have audio echo
T20251231.0002,Software license expired for Adobe Acrobat,Critical,Service Request,IT:Applications,1.0,1.0,115.3,127.0,"Moore, James",IT:Applications,T20260204.0006,Software license expired for Adobe Acrobat
T20260111.0001,Network printer offline,Critical,Service Request,IT:Change,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
T20251203.0002,Monitor flickering on docking station,Low,Service Request,IT:Applications,1.0,1.0,121.9,124.0,"Taylor, Mark",SW:Change,T20251206.0008,Monitor flickering on docking station
T20251219.0003,Email bouncing back to external clients,Critical,Service Request,IT:Change,1.0,1.0,126.2,137.0,"Miller, Susan",SW:Support,T20260119.0001,Email bouncing back to external clients
T20260121.0003,Teams calls have audio echo,Low,Service Request,SW:Support,1.0,1.0,111.4,132.0,"Moore, James",SW:Support,T20251204.0021,Teams calls have audio echo
T20120530.0001,Dan is still having issues with his email,Medium,Medium,IT:Applications,0.1609,0.1609,81.6,106.5,"Moore, James",IT:Applications,T20260101.0019,Suspicious phishing email reported
T20251209.0001,Windows update causing BSOD,Medium,Maintenance,SW:Support,1.0,1.0,90.9,42.5,"Moore, James",IT:Hardware,T20260301.0006,Windows update causing BSOD
T20260208.0001,Need access to CRM application,High,Service Request,SW:Support,1.0,1.0,157.5,150.5,"Anderson, Scott",IT:Hardware,T20260114.0005,Need access to CRM application
T20251213.0001,New employee laptop setup,Low,Service Request,SW:Support,1.0,1.0,78.2,87.0,"Anderson, Scott",SW:Defect,T20260218.0006,New employee laptop setup
T20260228.0002,Zoom meeting room setup,Critical,Service Request,SW:Support,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20260118.0001,Teams calls have audio echo,Medium,Medium,IT:Applications,1.0,1.0,111.4,132.0,"Moore, James",SW:Support,T20251204.0021,Teams calls have audio echo
T20251205.0003,Password reset request,High,Service Request,SW:Internal,1.0,1.0,89.5,89.0,"Miller, Susan",IT:Applications,T20251210.0013,Password reset request
T20260131.0002,File recovery request,Critical,Service Request,Triage,1.0,1.0,114.6,124.5,"Miller, Susan",IT:Applications,T20260221.0011,File recovery request
T20260212.0002,New employee laptop setup,High,Service Request,SW:Support,1.0,1.0,78.2,87.0,"Anderson, Scott",SW:Defect,T20260218.0006,New employee laptop setup
T20260224.0001,OneDrive sync errors,Medium,Medium,SW:Internal,1.0,1.0,101.6,95.5,"Taylor, Mark",SW:Support,T20260113.0013,OneDrive sync errors
T20260113.0002,Desk phone not receiving calls,Critical,High,IT:Hardware,1.0,1.0,122.1,113.0,"Moore, James",Triage,T20251231.0005,Desk phone not receiving calls
T20260115.0003,QuickBooks not launching after update,High,Maintenance,SW:Support,1.0,1.0,77.0,76.0,"Moore, James",IT:Hardware,T20260102.0008,QuickBooks not launching after update
T20260221.0001,Request to install project management software,Low,Service Request,IT:Applications,1.0,1.0,60.1,43.5,"Anderson, Scott",IT:Hardware,T20260216.0012,Request to install project management software
T20251216.0001,MFA not working on mobile device,Medium,Service Request,Triage,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20260206.0001,Request for additional monitor,Low,Service Request,SW:Support,1.0,1.0,90.3,80.0,"Anderson, Scott",IT:Hardware,T20260218.0007,Request for additional monitor
T20260217.0001,Teams calls have audio echo,Medium,Medium,SW:Defect,1.0,1.0,111.4,132.0,"Moore, James",SW:Support,T20251204.0021,Teams calls have audio echo
T20260121.0001,Monitor flickering on docking station,High,High,SW:Internal,1.0,1.0,121.9,124.0,"Taylor, Mark",SW:Change,T20251206.0008,Monitor flickering on docking station
T20251227.0001,MFA not working on mobile device,Low,Low,SW:Internal,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20260212.0003,Request to install project management software,Low,Service Request,SW:Change,1.0,1.0,60.1,43.5,"Anderson, Scott",IT:Hardware,T20260216.0012,Request to install project management software
T20260205.0002,MFA not working on mobile device,Medium,Service Request,SW:Defect,1.0,1.0,84.9,87.5,"Taylor, Mark",IT:Change,T20251211.0011,MFA not working on mobile device
T20260125.0002,Slow computer performance,Critical,Service Request,IT:Change,1.0,1.0,172.7,173.0,"Miller, Susan",SW:Change,T20251221.0005,Slow computer performance
T20251229.0003,Zoom meeting room setup,Low,Service Request,IT:Applications,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20260111.0002,Wi-Fi connectivity issues in conference room B,Medium,Medium,SW:Internal,1.0,1.0,158.2,162.0,"Anderson, Scott",SW:Change,T20260110.0007,Wi-Fi connectivity issues in conference room B
T20260220.0005,Software license expired for Adobe Acrobat,High,Service Request,IT:Change,1.0,1.0,115.3,127.0,"Moore, James",IT:Applications,T20260204.0006,Software license expired for Adobe Acrobat
T20120604.0002.001,Monthy Services Checkup,Low,Low,IT:Hardware,0.0,0.0,123.3,124.0,"Taylor, Mark",IT:Change,T20260113.0013,OneDrive sync errors
T20120604.0002.002,Monthy Services Checkup,Low,Low,IT:Hardware,0.0,0.0,123.3,124.0,"Taylor, Mark",IT:Change,T20260113.0013,OneDrive sync errors
T20120604.0002.003,Monthy Services Checkup,Low,Low,IT:Hardware,0.0,0.0,123.3,124.0,"Taylor, Mark",IT:Change,T20260113.0013,OneDrive sync errors
T20120604.0002.004,Monthy Services Checkup,Low,Low,IT:Hardware,0.0,0.0,123.3,124.0,"Taylor, Mark",IT:Change,T20260113.0013,OneDrive sync errors
T20120604.0002.005,Monthy Services Checkup,Low,Low,IT:Hardware,0.0,0.0,123.3,124.0,"Taylor, Mark",IT:Change,T20260113.0013,OneDrive sync errors
T20120604.0002.006,Monthy Services Checkup,Low,Low,IT:Hardware,0.0,0.0,123.3,124.0,"Taylor, Mark",IT:Change,T20260113.0013,OneDrive sync errors
T20260105.0001,Password reset request,High,Service Request,IT:Applications,1.0,1.0,89.5,89.0,"Miller, Susan",IT:Applications,T20251210.0013,Password reset request
T20260202.0001,Slow computer performance,Critical,High,IT:Hardware,1.0,1.0,172.7,173.0,"Miller, Susan",SW:Change,T20251221.0005,Slow computer performance
T20251205.0001,New user account creation,Medium,Service Request,SW:Defect,1.0,1.0,82.9,64.0,"Moore, James",IT:Change,T20251207.0003,New user account creation
T20260126.0002,Email bouncing back to external clients,Low,Low,IT:Applications,1.0,1.0,126.2,137.0,"Miller, Susan",SW:Support,T20260119.0001,Email bouncing back to external clients
T20251227.0002,Network printer offline,High,High,Triage,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
T20260226.0005,Outlook not syncing emails,Medium,Medium,IT:Applications,1.0,1.0,109.1,105.5,"Anderson, Scott",Triage,T20260207.0003,Outlook not syncing emails
T20251227.0004,Keyboard and mouse not responding,Medium,Service Request,IT:Change,1.0,1.0,82.7,57.5,"Taylor, Mark",Triage,T20251217.0004,Keyboard and mouse not responding
T20260220.0004,Need access to CRM application,Critical,Service Request,SW:Defect,1.0,1.0,157.5,150.5,"Anderson, Scott",IT:Hardware,T20260114.0005,Need access to CRM application
T20251230.0002,Suspicious phishing email reported,Low,Low,Triage,1.0,1.0,81.3,115.5,"Anderson, Scott",IT:Applications,T20260212.0010,Suspicious phishing email reported
T20260114.0002,Outlook not syncing emails,Critical,High,SW:Internal,1.0,1.0,109.1,105.5,"Anderson, Scott",Triage,T20260207.0003,Outlook not syncing emails
T20251212.0002,Backup job failed overnight,High,High,IT:Applications,1.0,1.0,113.7,102.0,"Anderson, Scott",SW:Internal,T20260203.0005,Backup job failed overnight
T20260225.0001,Wi-Fi connectivity issues in conference room B,Critical,High,Triage,1.0,1.0,158.2,162.0,"Anderson, Scott",SW:Change,T20260110.0007,Wi-Fi connectivity issues in conference room B
T20260215.0003,Keyboard and mouse not responding,Critical,High,IT:Hardware,1.0,1.0,82.7,57.5,"Taylor, Mark",Triage,T20251217.0004,Keyboard and mouse not responding
T20251231.0001,Desk phone not receiving calls,High,High,SW:Defect,1.0,1.0,122.1,113.0,"Moore, James",Triage,T20251231.0005,Desk phone not receiving calls
T20260131.0001,Keyboard and mouse not responding,Medium,Medium,SW:Support,1.0,1.0,82.7,57.5,"Taylor, Mark",Triage,T20251217.0004,Keyboard and mouse not responding
T20260227.0001,Software license expired for Adobe Acrobat,High,Service Request,SW:Defect,1.0,1.0,115.3,127.0,"Moore, James",IT:Applications,T20260204.0006,Software license expired for Adobe Acrobat
T20260117.0001,Request to install project management software,Medium,Service Request,IT:Applications,1.0,1.0,60.1,43.5,"Anderson, Scott",IT:Hardware,T20260216.0012,Request to install project management software
T20260127.0001,QuickBooks not launching after update,High,Maintenance,IT:Change,1.0,1.0,77.0,76.0,"Moore, James",IT:Hardware,T20260102.0008,QuickBooks not launching after update
T20260123.0001,Wi-Fi connectivity issues in conference room B,Low,Service Request,SW:Support,1.0,1.0,158.2,162.0,"Anderson, Scott",SW:Change,T20260110.0007,Wi-Fi connectivity issues in conference room B
T20251212.0001,Laptop battery not holding charge,Low,Service Request,IT:Change,1.0,1.0,123.0,144.5,"Miller, Susan",SW:Internal,T20260112.0001,Laptop battery not holding charge
T20260116.0001,Backup job failed overnight,Low,Low,Triage,1.0,1.0,113.7,102.0,"Anderson, Scott",SW:Internal,T20260203.0005,Backup job failed overnight
T20260213.0001,Zoom meeting room setup,Medium,Service Request,SW:Support,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20260130.0002,Need access to CRM application,Critical,Service Request,IT:Hardware,1.0,1.0,157.5,150.5,"Anderson, Scott",IT:Hardware,T20260114.0005,Need access to CRM application
T20251220.0001,Server room temperature alert,Critical,High,SW:Support,1.0,1.0,158.1,166.5,"Anderson, Scott",IT:Applications,T20260101.0003,Server room temperature alert
T20260206.0002,Password reset request,Low,Service Request,SW:Change,1.0,1.0,89.5,89.0,"Miller, Susan",IT:Applications,T20251210.0013,Password reset request
T20260203.0002,Shared drive access denied,Critical,Service Request,SW:Change,1.0,1.0,116.6,144.0,"Anderson, Scott",SW:Internal,T20251207.0010,Shared drive access denied
T20260128.0002,Email bouncing back to external clients,Critical,Service Request,SW:Defect,1.0,1.0,126.2,137.0,"Miller, Susan",SW:Support,T20260119.0001,Email bouncing back to external clients
T20251220.0003,New user account creation,Low,Service Request,IT:Hardware,1.0,1.0,82.9,64.0,"Moore, James",IT:Change,T20251207.0003,New user account creation
T20260206.0004,Windows update causing BSOD,Critical,Maintenance,IT:Hardware,1.0,1.0,90.9,42.5,"Moore, James",IT:Hardware,T20260301.0006,Windows update causing BSOD
T20251226.0004,Laptop battery not holding charge,Medium,Medium,SW:Support,1.0,1.0,123.0,144.5,"Miller, Susan",SW:Internal,T20260112.0001,Laptop battery not holding charge
T20260209.0004,QuickBooks not launching after update,High,Maintenance,IT:Applications,1.0,1.0,77.0,76.0,"Moore, James",IT:Hardware,T20260102.0008,QuickBooks not launching after update
T20260207.0005,New employee laptop setup,Critical,Service Request,IT:Hardware,1.0,1.0,78.2,87.0,"Anderson, Scott",SW:Defect,T20260218.0006,New employee laptop setup
T20260101.0001,Wi-Fi connectivity issues in conference room B,Low,Low,Triage,1.0,1.0,158.2,162.0,"Anderson, Scott",SW:Change,T20260110.0007,Wi-Fi connectivity issues in conference room B
T20260226.0004,Server room temperature alert,High,High,SW:Defect,1.0,1.0,158.1,166.5,"Anderson, Scott",IT:Applications,T20260101.0003,Server room temperature alert
T20260212.0001,Shared drive access denied,Low,Low,SW:Internal,1.0,1.0,116.6,144.0,"Anderson, Scott",SW:Internal,T20251207.0010,Shared drive access denied
T20260228.0001,OneDrive sync errors,High,Service Request,IT:Change,1.0,1.0,101.6,95.5,"Taylor, Mark",SW:Support,T20260113.0013,OneDrive sync errors
T20251207.0001,Outlook not syncing emails,High,Service Request,IT:Hardware,1.0,1.0,109.1,105.5,"Anderson, Scott",Triage,T20260207.0003,Outlook not syncing emails
T20260206.0003,Teams calls have audio echo,High,High,Triage,1.0,1.0,111.4,132.0,"Moore, James",SW:Support,T20251204.0021,Teams calls have audio echo
T20260217.0003,Wi-Fi connectivity issues in conference room B,Low,Low,SW:Internal,1.0,1.0,158.2,162.0,"Anderson, Scott",SW:Change,T20260110.0007,Wi-Fi connectivity issues in conference room B
T20260126.0001,Printer jamming on 2nd floor,Low,Service Request,SW:Change,1.0,1.0,94.7,53.5,"Anderson, Scott",IT:Change,T20260206.0006,Printer jamming on 2nd floor
T20260130.0001,Laptop battery not holding charge,High,High,SW:Defect,1.0,1.0,123.0,144.5,"Miller, Susan",SW:Internal,T20260112.0001,Laptop battery not holding charge
T20251203.0001,Desk phone not receiving calls,Critical,Service Request,SW:Defect,1.0,1.0,122.1,113.0,"Moore, James",Triage,T20251231.0005,Desk phone not receiving calls
T20260122.0001,OneDrive sync errors,Medium,Medium,IT:Hardware,1.0,1.0,101.6,95.5,"Taylor, Mark",SW:Support,T20260113.0013,OneDrive sync errors
T20251230.0003,Laptop battery not holding charge,High,Service Request,SW:Defect,1.0,1.0,123.0,144.5,"Miller, Susan",SW:Internal,T20260112.0001,Laptop battery not holding charge
T20251209.0002,Software license expired for Adobe Acrobat,Critical,Service Request,SW:Change,1.0,1.0,115.3,127.0,"Moore, James",IT:Applications,T20260204.0006,Software license expired for Adobe Acrobat
T20260209.0003,Software license expired for Adobe Acrobat,Critical,Service Request,SW:Defect,1.0,1.0,115.3,127.0,"Moore, James",IT:Applications,T20260204.0006,Software license expired for Adobe Acrobat
T20260124.0002,Password reset request,Critical,Service Request,IT:Applications,1.0,1.0,89.5,89.0,"Miller, Susan",IT:Applications,T20251210.0013,Password reset request
T20260218.0004,Internet speed slow at branch office,Critical,High,SW:Support,1.0,1.0,118.8,105.5,"Miller, Susan",SW:Internal,T20260219.0004,Internet speed slow at branch office
T20251204.0004,Printer jamming on 2nd floor,Critical,High,Triage,1.0,1.0,94.7,53.5,"Anderson, Scott",IT:Change,T20260206.0006,Printer jamming on 2nd floor
T20260207.0004,File recovery request,High,Service Request,IT:Applications,1.0,1.0,114.6,124.5,"Miller, Susan",IT:Applications,T20260221.0011,File recovery request
T20260211.0001,Printer jamming on 2nd floor,Low,Low,IT:Hardware,1.0,1.0,94.7,53.5,"Anderson, Scott",IT:Change,T20260206.0006,Printer jamming on 2nd floor
T20120603.0003,"Email just in, printer is down.",High,High,IT:Hardware,0.2918,0.2918,134.4,96.0,"Miller, Susan",IT:Applications,T20260125.0011,Network printer offline
T20260110.0001,Suspicious phishing email reported,Critical,High,IT:Hardware,1.0,1.0,81.3,115.5,"Anderson, Scott",IT:Applications,T20260212.0010,Suspicious phishing email reported
T20260208.0003,Outlook not syncing emails,Medium,Service Request,SW:Support,1.0,1.0,109.1,105.5,"Anderson, Scott",Triage,T20260207.0003,Outlook not syncing emails
T20260207.0001,Internet speed slow at branch office,Low,Low,IT:Hardware,1.0,1.0,118.8,105.5,"Miller, Susan",SW:Internal,T20260219.0004,Internet speed slow at branch office
T20251205.0002,Network printer offline,Low,Service Request,SW:Internal,1.0,1.0,132.0,122.5,"Anderson, Scott",IT:Applications,T20260115.0006,Network printer offline
T20260227.0002,Server room temperature alert,High,High,SW:Support,1.0,1.0,158.1,166.5,"Anderson, Scott",IT:Applications,T20260101.0003,Server room temperature alert
T20251221.0002,Zoom meeting room setup,Medium,Service Request,IT:Change,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20260228.0004,Request for additional monitor,Critical,Service Request,Triage,1.0,1.0,90.3,80.0,"Anderson, Scott",IT:Hardware,T20260218.0007,Request for additional monitor
T20260121.0002,Internet speed slow at branch office,Medium,Service Request,Triage,1.0,1.0,118.8,105.5,"Miller, Susan",SW:Internal,T20260219.0004,Internet speed slow at branch office
T20260205.0003,Printer jamming on 2nd floor,Critical,Service Request,IT:Change,1.0,1.0,94.7,53.5,"Anderson, Scott",IT:Change,T20260206.0006,Printer jamming on 2nd floor
T20251228.0001,Server room temperature alert,High,High,Triage,1.0,1.0,158.1,166.5,"Anderson, Scott",IT:Applications,T20260101.0003,Server room temperature alert
T20260106.0002,Software license expired for Adobe Acrobat,Medium,Service Request,Triage,1.0,1.0,115.3,127.0,"Moore, James",IT:Applications,T20260204.0006,Software license expired for Adobe Acrobat
T20120604.0007,Install Symantec EP,Low,Service Request,IT:Applications,0.1646,0.1646,58.5,43.5,"Miller, Susan",SW:Internal,T20260216.0012,Request to install project management software
T20260304.0001,cpu damaged,Critical,High,IT:Hardware,0.0,0.0,123.3,124.0,"Taylor, Mark",IT:Change,T20260113.0013,OneDrive sync errors
T20120604.0004,Opportunity Closed:[Cloud Application],Medium,Medium,,0.1925,0.1925,138.2,130.5,"Anderson, Scott",SW:Internal,T20260207.0003,Outlook not syncing emails
T20120604.0010,Software Upgrade,Medium,Maintenance,Triage,0.1458,0.1458,162.4,170.0,"Anderson, Scott",SW:Change,T20260211.0006,Request to install project management software
T20120529.0001,Customer defect with provisioning,High,High,SW:Defect,0.0,0.0,123.3,124.0,"Taylor, Mark",IT:Change,T20260113.0013,OneDrive sync errors
T20120531.0003,Documentation Updating required,Low,Maintenance,SW:Support,0.3395,0.3395,111.9,108.0,"Moore, James",SW:Internal,T20260125.0004,QuickBooks not launching after update
T20120530.0003,Review security audit logs,Medium,Medium,SW:Support,0.1319,0.1319,105.2,110.0,"Moore, James",SW:Change,T20260203.0004,Email bouncing back to external clients
T20120604.0003.001,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.002,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.003,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.004,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.005,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.006,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.007,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.008,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.009,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.010,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.011,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.012,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.013,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.014,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.015,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.016,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.017,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.018,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.019,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0003.020,Customer experience weekly checkup,Low,Low,SW:Support,0.2362,0.2362,81.6,102.5,"Anderson, Scott",SW:Support,T20260222.0006,New employee laptop setup
T20120604.0008,Save/Close Error,Medium,Medium,SW:Support,0.2676,0.2676,162.7,170.5,"Moore, James",IT:Change,T20260223.0010,Windows update causing BSOD
T20120531.0002,Security Change Request,Low,Service Request,IT:Change,0.1693,0.1693,136.1,139.0,"Taylor, Mark",SW:Defect,T20251207.0003,New user account creation
T20120603.0004,Server Drive 0 at 20% free space,High,High,Triage,0.2016,0.2016,163.4,176.5,"Moore, James",SW:Defect,T20251207.0010,Shared drive access denied
T20260227.0003,New user account creation,High,Service Request,IT:Applications,1.0,1.0,82.9,64.0,"Moore, James",IT:Change,T20251207.0003,New user account creation
T20251218.0001,Shared drive access denied,Low,Low,Triage,1.0,1.0,116.6,144.0,"Anderson, Scott",SW:Internal,T20251207.0010,Shared drive access denied
T20260122.0002,Desk phone not receiving calls,Low,Service Request,SW:Support,1.0,1.0,122.1,113.0,"Moore, James",Triage,T20251231.0005,Desk phone not receiving calls
T20260205.0001,Shared drive access denied,Medium,Medium,SW:Internal,1.0,1.0,116.6,144.0,"Anderson, Scott",SW:Internal,T20251207.0010,Shared drive access denied
T20260209.0002,File recovery request,Low,Service Request,SW:Support,1.0,1.0,114.6,124.5,"Miller, Susan",IT:Applications,T20260221.0011,File recovery request
T20251218.0003,Zoom meeting room setup,High,Service Request,SW:Internal,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20251225.0001,Zoom meeting room setup,Low,Service Request,SW:Defect,1.0,1.0,80.2,81.0,"Anderson, Scott",IT:Change,T20251209.0009,Zoom meeting room setup
T20260111.0003,QuickBooks not launching after update,Low,Maintenance,SW:Defect,1.0,1.0,77.0,76.0,"Moore, James",IT:Hardware,T20260102.0008,QuickBooks not launching after update
T20260222.0003,Suspicious phishing email reported,Medium,Medium,IT:Applications,1.0,1.0,81.3,115.5,"Anderson, Scott",IT:Applications,T20260212.0010,Suspicious phishing email reported
T20251209.0003,Desk phone not receiving calls,Critical,High,SW:Internal,1.0,1.0,122.1,113.0,"Moore, James",Triage,T20251231.0005,Desk phone not receiving calls
T20260222.0004,Windows update causing BSOD,Low,Maintenance,SW:Support,1.0,1.0,90.9,42.5,"Moore, James",IT:Hardware,T20260301.0006,Windows update causing BSOD
T20260130.0003,Keyboard and mouse not responding,Medium,Medium,SW:Internal,1.0,1.0,82.7,57.5,"Taylor, Mark",Triage,T20251217.0004,Keyboard and mouse not responding
